,Temperature,Latitude,Humidity,Cloudiness,WindSpeed
376,80.16,12.25,100,36,4.38
377,71.88,-23.12,100,92,4.83
378,65.76,23.7,67,0,0.81
379,77.46,-23.58,55,0,5.61
380,50.0,55.52,87,40,20.13
381,53.6,47.1,100,90,14.99
382,83.1,22.08,81,90,16.11
383,44.07,69.7,90,56,3.38
384,85.14,22.89,74,75,11.41
385,61.89,22.69,92,0,2.04
386,36.69,54.11,100,8,3.15
387,52.08,-33.21,47,0,8.97
388,44.6,53.14,65,40,15.66
389,83.1,22.08,81,90,16.11
390,40.38,61.81,96,92,13.0
391,52.89,43.51,83,32,8.63
392,73.67,4.5,67,40,13.87
393,82.62,36.73,3,1,12.75
394,36.69,68.05,84,88,18.14
395,68.73,15.34,98,92,2.15
396,44.07,69.7,90,56,3.38
397,85.14,22.89,74,75,11.41
398,61.89,22.69,92,0,2.04
399,36.69,54.11,100,8,3.15
400,52.08,-33.21,47,0,8.97
401,44.6,53.14,65,40,15.66
402,83.1,22.08,81,90,16.11
403,40.38,61.81,96,92,13.0
404,52.89,43.51,83,32,8.63
405,73.67,4.5,67,40,13.87
406,82.62,36.73,3,1,12.75
407,36.69,68.05,84,88,18.14
408,44.07,69.7,90,56,3.38
409,83.34,22.89,78,75,5.82
410,61.89,22.69,92,0,2.04
411,36.69,54.11,100,8,3.15
412,52.08,-33.21,47,0,8.97
413,44.07,69.7,90,56,3.38
414,83.34,22.89,78,75,5.82
415,61.89,22.69,92,0,2.04
416,36.69,54.11,100,8,3.15
417,52.08,-33.21,47,0,8.97
418,46.4,53.14,65,40,24.61
419,83.71,22.08,84,90,17.22
420,40.38,61.81,96,92,13.0
421,52.89,43.51,83,32,8.63
422,59.0,4.5,72,40,6.93
423,79.84,36.73,3,1,13.87
424,36.69,68.05,84,88,18.14
425,68.73,15.34,98,92,2.15
